Date,AAPL,AMZN,FB,GOOGL,NFLX,^GSPC
2017-01-04,29.0049991607666,757.1799926757812,118.69000244140625,807.77001953125,129.41000366210938,2270.75
2017-01-05,29.15250015258789,780.4500122070312,120.66999816894531,813.02001953125,131.80999755859375,2269.0
2017-01-06,29.477500915527344,795.989990234375,123.41000366210938,825.2100219726562,131.07000732421875,2276.97998046875
2017-01-09,29.747499465942383,796.9199829101562,124.9000015258789,827.1799926757812,130.9499969482422,2268.89990234375
2017-01-10,29.77750015258789,795.9000244140625,124.3499984741211,826.010009765625,129.88999938964844,2268.89990234375
2017-01-11,29.9375,799.02001953125,126.08999633789062,829.8599853515625,130.5,2275.320068359375
2017-01-12,29.8125,813.6400146484375,126.62000274658203,829.530029296875,129.17999267578125,2270.43994140625
2017-01-13,29.760000228881836,817.1400146484375,128.33999633789062,830.9400024414062,133.6999969482422,2274.639892578125
2017-01-17,30.0,809.719970703125,127.87000274658203,827.4600219726562,132.88999938964844,2267.889892578125
2017-01-18,29.997499465942383,807.47998046875,127.91999816894531,829.02001953125,133.25999450683594,2271.889892578125
2017-01-19,29.94499969482422,809.0399780273438,127.55000305175781,824.3699951171875,138.41000366210938,2263.68994140625
2017-01-20,30.0,808.3300170898438,127.04000091552734,828.1699829101562,138.60000610351562,2271.31005859375
2017-01-23,30.020000457763672,817.8800048828125,128.92999267578125,844.4299926757812,137.38999938964844,2265.199951171875
2017-01-24,29.99250030517578,822.4400024414062,129.3699951171875,849.530029296875,140.11000061035156,2280.070068359375
2017-01-25,30.469999313354492,836.52001953125,131.47999572753906,858.4500122070312,139.52000427246094,2298.3701171875
2017-01-26,30.485000610351562,839.1500244140625,132.77999877929688,856.97998046875,138.9600067138672,2296.679931640625
2017-01-27,30.487499237060547,835.77001953125,132.17999267578125,845.030029296875,142.4499969482422,2294.68994140625
2017-01-30,30.407499313354492,830.3800048828125,130.97999572753906,823.8300170898438,141.22000122070312,2280.89990234375
2017-01-31,30.337499618530273,823.47998046875,130.32000732421875,820.1900024414062,140.7100067138672,2278.8701171875
2017-02-01,32.1875,832.3499755859375,133.22999572753906,815.239990234375,140.77999877929688,2279.550048828125
2017-02-02,32.13249969482422,839.9500122070312,130.83999633789062,818.260009765625,139.1999969482422,2280.85009765625
2017-02-03,32.27000045776367,810.2000122070312,130.97999572753906,820.1300048828125,140.25,2297.419921875
2017-02-06,32.5724983215332,807.6400146484375,132.05999755859375,821.6199951171875,140.97000122070312,2292.56005859375
2017-02-07,32.88249969482422,812.5,131.83999633789062,829.22998046875,144.0,2293.080078125
2017-02-08,33.0099983215332,819.7100219726562,134.1999969482422,829.8800048828125,144.74000549316406,2294.669921875
2017-02-09,33.10499954223633,821.3599853515625,134.13999938964844,830.0599975585938,144.13999938964844,2307.8701171875
2017-02-10,33.029998779296875,827.4600219726562,134.19000244140625,834.8499755859375,144.82000732421875,2316.10009765625
2017-02-13,33.3224983215332,836.530029296875,134.0500030517578,838.9600219726562,143.1999969482422,2328.25
2017-02-14,33.755001068115234,836.3900146484375,133.85000610351562,840.030029296875,140.82000732421875,2337.580078125
2017-02-15,33.877498626708984,842.7000122070312,133.44000244140625,837.3200073242188,142.27000427246094,2349.25
2017-02-16,33.837501525878906,844.1400146484375,133.83999633789062,842.1699829101562,142.00999450683594,2347.219970703125
2017-02-17,33.93000030517578,845.0700073242188,133.52999877929688,846.5499877929688,142.22000122070312,2351.159912109375
2017-02-21,34.17499923706055,856.4400024414062,133.72000122070312,849.27001953125,142.60000610351562,2365.3798828125
2017-02-22,34.27750015258789,855.6099853515625,136.1199951171875,851.3599853515625,143.86000061035156,2362.820068359375
2017-02-23,34.13249969482422,852.1900024414062,135.36000061035156,851.0,142.77999877929688,2363.81005859375
2017-02-24,34.165000915527344,845.239990234375,135.44000244140625,847.8099975585938,143.25,2367.340087890625
2017-02-27,34.23249816894531,848.6400146484375,136.41000366210938,849.6699829101562,143.41000366210938,2369.75
2017-02-28,34.247501373291016,845.0399780273438,135.5399932861328,844.9299926757812,142.1300048828125,2363.639892578125
2017-03-01,34.9474983215332,853.0800170898438,137.4199981689453,856.75,142.64999389648438,2395.9599609375
2017-03-02,34.7400016784668,848.9099731445312,136.75999450683594,849.8499755859375,139.52999877929688,2381.919921875
2017-03-03,34.94499969482422,849.8800048828125,137.1699981689453,849.0800170898438,139.13999938964844,2383.1201171875
2017-03-06,34.834999084472656,846.6099853515625,137.4199981689453,847.27001953125,141.94000244140625,2375.31005859375
2017-03-07,34.880001068115234,846.02001953125,137.3000030517578,851.1500244140625,141.42999267578125,2368.389892578125
2017-03-08,34.75,850.5,137.72000122070312,853.6400146484375,140.32000732421875,2362.97998046875
2017-03-09,34.66999816894531,853.0,138.24000549316406,857.8400268554688,140.52999877929688,2364.8701171875
2017-03-10,34.78499984741211,852.4600219726562,138.7899932861328,861.4099731445312,140.88999938964844,2372.60009765625
2017-03-13,34.79999923706055,854.5900268554688,139.60000610351562,864.5800170898438,143.52000427246094,2373.469970703125
2017-03-14,34.747501373291016,852.530029296875,139.32000732421875,865.9099731445312,143.19000244140625,2365.449951171875
2017-03-15,35.1150016784668,852.969970703125,139.72000122070312,868.3900146484375,145.25,2385.260009765625
2017-03-16,35.17250061035156,853.4199829101562,139.99000549316406,870.0,144.38999938964844,2381.3798828125
2017-03-17,34.997501373291016,852.3099975585938,139.83999633789062,872.3699951171875,145.11000061035156,2378.25
2017-03-20,35.3650016784668,856.969970703125,139.94000244140625,867.9099731445312,145.8300018310547,2373.469970703125
2017-03-21,34.959999084472656,843.2000122070312,138.50999450683594,850.1400146484375,142.4199981689453,2344.02001953125
2017-03-22,35.35499954223633,848.0599975585938,139.58999633789062,849.7999877929688,142.64999389648438,2348.449951171875
2017-03-23,35.22999954223633,847.3800048828125,139.52999877929688,839.6500244140625,141.83999633789062,2345.9599609375
2017-03-24,35.15999984741211,845.6099853515625,140.33999633789062,835.1400146484375,142.02000427246094,2343.97998046875
2017-03-27,35.220001220703125,846.8200073242188,140.32000732421875,838.510009765625,144.05999755859375,2341.590087890625
2017-03-28,35.95000076293945,856.0,141.75999450683594,840.6300048828125,145.1699981689453,2358.570068359375
2017-03-29,36.029998779296875,874.3200073242188,142.64999389648438,849.8699951171875,146.47000122070312,2361.1298828125
2017-03-30,35.98249816894531,876.3400268554688,142.41000366210938,849.47998046875,148.05999755859375,2368.06005859375
2017-03-31,35.915000915527344,886.5399780273438,142.0500030517578,847.7999877929688,147.80999755859375,2362.719970703125
2017-04-03,35.92499923706055,891.510009765625,142.27999877929688,856.75,146.9199981689453,2358.840087890625
2017-04-04,36.192501068115234,906.8300170898438,141.72999572753906,852.5700073242188,145.5,2360.159912109375
