areaCode,areaName,areaType,date,cumVaccinesGivenByPublishDate
S12000041,Angus,utla,2021-10-06,178424
E06000009,Blackpool,utla,2021-10-06,196789
E06000022,Bath and North East Somerset,utla,2021-10-06,279613
E06000032,Luton,utla,2021-10-06,251385
E06000044,Portsmouth,utla,2021-10-06,290331
E06000055,Bedford,utla,2021-10-06,244410
E08000012,Liverpool,utla,2021-10-06,613115
E08000022,North Tyneside,utla,2021-10-06,305101
E09000004,Bexley,utla,2021-10-06,321440
E09000028,Southwark,utla,2021-10-06,405756
E09000031,Waltham Forest,utla,2021-10-06,324136
E10000008,Devon,utla,2021-10-06,1231843
S12000019,Midlothian,utla,2021-10-06,139031
S12000036,City of Edinburgh,utla,2021-10-06,744797
E06000006,Halton,utla,2021-10-06,175713
E06000031,Peterborough,utla,2021-10-06,261216
E06000034,Thurrock,utla,2021-10-06,209167
E06000043,Brighton and Hove,utla,2021-10-06,399700
E08000005,Rochdale,utla,2021-10-06,282088
E08000008,Tameside,utla,2021-10-06,308281
E09000009,Ealing,utla,2021-10-06,473215
E10000006,Cumbria,utla,2021-10-06,755688
E10000011,East Sussex,utla,2021-10-06,807232
S12000017,Highland,utla,2021-10-06,352903
S12000047,Fife,utla,2021-10-06,547663
S12000049,Glasgow City,utla,2021-10-06,864364
E06000007,Warrington,utla,2021-10-06,301431
E06000020,Telford and Wrekin,utla,2021-10-06,248772
E06000035,Medway,utla,2021-10-06,365731
E06000057,Northumberland,utla,2021-10-06,493578
E08000013,St. Helens,utla,2021-10-06,257344
E09000010,Enfield,utla,2021-10-06,387265
E09000021,Kingston upon Thames,utla,2021-10-06,236139
E10000003,Cambridgeshire,utla,2021-10-06,991149
E10000025,Oxfordshire,utla,2021-10-06,1066459
E10000027,Somerset,utla,2021-10-06,856083
E10000032,West Sussex,utla,2021-10-06,1292096
S12000027,Shetland Islands,utla,2021-10-06,34776
S12000033,Aberdeen City,utla,2021-10-06,313804
S12000048,Perth and Kinross,utla,2021-10-06,234045
E06000002,Middlesbrough,utla,2021-10-06,187263
E06000018,Nottingham,utla,2021-10-06,392572
E06000041,Wokingham,utla,2021-10-06,258055
E06000042,Milton Keynes,utla,2021-10-06,374556
E06000047,County Durham,utla,2021-10-06,767297
E08000004,Oldham,utla,2021-10-06,296470
E09000025,Newham,utla,2021-10-06,409343
E10000018,Leicestershire,utla,2021-10-06,1032766
S12000005,Clackmannanshire,utla,2021-10-06,78981
S12000010,East Lothian,utla,2021-10-06,164863
E06000011,East Riding of Yorkshire,utla,2021-10-06,526056
E06000036,Bracknell Forest,utla,2021-10-06,175503
E06000037,West Berkshire,utla,2021-10-06,238996
E08000035,Leeds,utla,2021-10-06,1076108
E09000017,Hillingdon,utla,2021-10-06,400699
E10000012,Essex,utla,2021-10-06,2128950
