Date,CPI Inflation Rate
2021-01-01,0.9
2021-02-01,0.7
2021-03-01,1
2021-04-01,1.6
2021-05-01,2.1
2021-06-01,2.4
2021-07-01,2.1
2021-08-01,3
2021-09-01,2.9
2021-10-01,3.8
